Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,1.2M,58.0,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",https://www.imdb.com/title/tt0086190/?ref_=sr_i_1,"['Lawrence Kasdan', 'George Lucas']",['Richard Marquand'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'Peter Mayhew', 'Sebastian Shaw', 'Ian McDiarmid', 'Frank Oz', 'James Earl Jones']","$32,500,000 (estimated)","$23,019,618","$482,466,382","$316,566,101","May 25, 1983",['United States'],"['Miller-Rellim Redwood Company Property, Morrison Creek Road, Smith River, California, USA (Endor scenes, now logged and deforested, coordinates: 41°54\'49.2""N, 124°07\'31.4""W)']",['Lucasfilm'],"Nominated for 4 Oscars, 25 wins & 23 nominations total","['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery']","['English', 'Kikuyu', 'Tagalog', 'Kalmyk-Oirat', 'Quechua', 'Polish']"
2. Terms of Endearment,1983,2h 12m,PG,7.4,68K,79.0,Widow Aurora Greenway juggles her own struggles with a new romantic interest while trying to sort out the emotional problems of her daughter who's married to a philandering husband.,https://www.imdb.com/title/tt0086425/?ref_=sr_i_2,"['Larry McMurtry', 'James L. Brooks']",['James L. Brooks'],"['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson', 'Danny DeVito', 'Jeff Daniels', 'John Lithgow', 'Lisa Hart Carroll', 'Betty King', 'Huckleberry Fox', 'Troy Bishop']","$8,000,000 (estimated)","$3,498,813","$108,423,749","$108,423,489","December 9, 1983",['United States'],"['3060 Locke Lane, Houston, Texas, USA (home where Aurora lived)']",['Paramount Pictures'],"Won 5 Oscars, 32 wins & 22 nominations total","['Comedy', 'Drama']",['English']
3. Flashdance,1983,1h 35m,R,6.2,62K,39.0,"An 18-year-old female amateur dancer who performs nightly at a dancing bar, and works as a welder during the day, dreams of joining the Pittsburgh ballet school.",https://www.imdb.com/title/tt0085549/?ref_=sr_i_3,"['Thomas Hedley Jr.', 'Joe Eszterhas']",['Adrian Lyne'],"['Jennifer Beals', 'Michael Nouri', 'Lilia Skala', 'Sunny Johnson', 'Kyle T. Heffner', 'Lee Ving', 'Ron Karabatsos', 'Belinda Bauer', 'Malcolm Danare', 'Philip Bruns']","$7,500,000 (estimated)","$4,076,124","$92,921,203","$92,921,203","April 15, 1983",['United States'],"['Keystone Commons former Westinghouse Turbine Factory, East Pittsburgh, Pennsylvania, USA (interiors: factory)']","['Paramount Pictures', 'Polygram Filmed Entertainment', 'Don Simpson/Jerry Bruckheimer Films']","Won 1 Oscar, 13 wins & 16 nominations total","['Feel-Good Romance', 'Drama', 'Music', 'Romance']",['English']
4. Trading Places,1983,1h 56m,R,7.5,174K,69.0,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.,https://www.imdb.com/title/tt0086465/?ref_=sr_i_4,"['Timothy Harris', 'Herschel Weingrod']",['John Landis'],"['Eddie Murphy', 'Dan Aykroyd', 'Ralph Bellamy', 'Don Ameche', 'Denholm Elliott', 'Maurice Woods', 'Richard D. Fisher Jr.', 'Jim Gallagher', 'Anthony DiSabatino', 'Bonnie Behrend']","$15,000,000 (estimated)","$7,348,200","$90,404,800","$90,404,800","June 8, 1983",['United States'],"['St. Croix, U.S. Virgin Islands']","['Paramount Pictures', 'Cinema Group Ventures']","Nominated for 1 Oscar, 3 wins & 8 nominations total","['Satire', 'Comedy']",['English']
5. WarGames,1983,1h 54m,PG,7.1,116K,77.0,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",https://www.imdb.com/title/tt0086567/?ref_=sr_i_5,"['Lawrence Lasker', 'Walter F. Parkes']",['John Badham'],"['Matthew Broderick', 'Ally Sheedy', 'John Wood', 'Dabney Coleman', 'Barry Corbin', 'Juanin Clay', 'Kent Williams', 'Dennis Lipscomb', 'Joe Dorsey', 'Irving Metzman']","$12,000,000 (estimated)","$6,227,804","$79,567,667","$79,567,667","June 3, 1983",['United States'],"['Anderson Island, Washington, USA (Goose Island scenes)']","['United Artists', 'Sherwood Productions']","Nominated for 3 Oscars, 4 wins & 14 nominations total","['Cyber Thriller', 'Political Drama', 'Political Thriller', 'Teen Drama', 'Action', 'Drama', 'Sci-Fi', 'Thriller']",['English']
6. Octopussy,1983,2h 11m,PG,6.5,116K,63.0,"A fake Fabergé egg recovered from the body of a fellow agent leads James Bond to uncover a jewel smuggling operation led by the mysterious Octopussy, and a plot to blow up a NATO air base.",https://www.imdb.com/title/tt0086034/?ref_=sr_i_6,"['George MacDonald Fraser', 'Richard Maibaum', 'Michael G. Wilson']",['John Glen'],"['Roger Moore', 'Maud Adams', 'Louis Jourdan', 'Kristina Wayborn', 'Kabir Bedi', 'Steven Berkoff', 'David Meyer', 'Tony Meyer', 'Desmond Llewelyn', 'Robert Brown']","$27,500,000 (estimated)","$8,902,564","$67,917,359","$67,893,619","June 10, 1983",['United Kingdom'],"[""Monsoon Palace, Udaipur, Rajasthan, India (Kamal Khan's palace)""]","['United Artists', 'Eon Productions', 'Danjaq']","Awards, 2 wins & 4 nominations total","['Action', 'Adventure', 'Thriller']","['English', 'Russian', 'German', 'Spanish', 'Hindi']"
7. Sudden Impact,1983,1h 57m,R,6.6,50K,52.0,"When a woman exacts deadly revenge on the aggressors who raped her and her sister ten years earlier, Inspector ""Dirty"" Harry Callahan is assigned to the case.",https://www.imdb.com/title/tt0086383/?ref_=sr_i_7,"['Harry Julian Fink', 'Rita M. Fink', 'Joseph Stinson']",['Clint Eastwood'],"['Clint Eastwood', 'Sondra Locke', 'Pat Hingle', 'Bradford Dillman', 'Paul Drake', 'Audrie Neenan', 'Jack Thibeau', 'Michael Currie', 'Albert Popwell', 'Mark Keyloun']","$22,000,000 (estimated)","$9,688,561","$67,642,693","$67,642,693","December 9, 1983",['United States'],"['Santa Cruz Beach, Santa Cruz, California, USA']","['Warner Bros.', 'The Malpaso Company']","Awards, 3 nominations total","['Action', 'Crime', 'Thriller']",['English']
8. Staying Alive,1983,1h 33m,PG,4.8,18K,24.0,"Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage.",https://www.imdb.com/title/tt0086361/?ref_=sr_i_8,"['Nik Cohn', 'Sylvester Stallone', 'Norman Wexler']",['Sylvester Stallone'],"['John Travolta', 'Cynthia Rhodes', 'Finola Hughes', 'Steve Inwood', 'Julie Bovasso', 'Charles Ward', 'Steve Bickford', 'Pat Brady', 'Norma Donaldson', 'Jesse Doran']","$22,000,000 (estimated)","$12,146,143","$64,893,329","$64,892,670","July 15, 1983",['United States'],"['Philharmonic Auditorium - 427 West 5th Street and South Olive Street, Downtown, Los Angeles, California, USA (Broadway theatre)']","['Paramount Pictures', 'Cinema Group Ventures']","Awards, 6 nominations total","['Drama', 'Music', 'Romance']",['English']
9. Mr. Mom,1983,1h 31m,PG,6.6,29K,50.0,"After he's suddenly laid off, a husband switches roles with his wife. She returns to the workforce, and he becomes a stay-at-home dad, and he has to take care of three young children, a job he has no clue how to do.",https://www.imdb.com/title/tt0085970/?ref_=sr_i_9,['John Hughes'],['Stan Dragoti'],"['Michael Keaton', 'Teri Garr', 'Frederick Koehler', 'Taliesin Jaffe', 'Courtney White', 'Brittany White', 'Martin Mull', 'Ann Jillian', 'Jeffrey Tambor', 'Christopher Lloyd']",,"$947,197","$64,783,827","$64,783,827","August 19, 1983",['United States'],"[""152 Greenfield Avenue, Los Angeles, California, USA (Jack and Caroline's house)""]",['Sherwood Productions'],"Awards, 1 win & 1 nomination total","['Comedy', 'Drama']",['English']
10. Risky Business,1983,1h 39m,R,6.8,104K,75.0,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.",https://www.imdb.com/title/tt0086200/?ref_=sr_i_10,['Paul Brickman'],['Paul Brickman'],"['Tom Cruise', 'Rebecca De Mornay', 'Joe Pantoliano', 'Richard Masur', 'Bronson Pinchot', 'Curtis Armstrong', 'Nicholas Pryor', 'Janet Carroll', 'Shera Danese', 'Raphael Sbarge']","$6,200,000 (estimated)","$4,275,327","$63,542,350","$63,541,777","August 5, 1983",['United States'],"['Niles East High School - 7700 Lincoln Avenue, Skokie, Illinois, USA']",['The Geffen Company'],"Awards, 3 nominations total","['Raunchy Comedy', 'Teen Comedy', 'Comedy', 'Crime', 'Drama', 'Romance']","['English', 'German']"
